feature,importance
Size,0.1758516654369317
Momentum_1y_w,0.15606449140512585
Beta_Value,0.1498958909457665
ROE_Value_w,0.1332054039688615
PE_Ratio_w,0.11970000451712363
Debt-to-Equity_w,0.106280633914213
ESG Global Score,0.10600776265206205
ESG_x_Sector,0.0451997222205948
High_Impact_ESG,0.007794424939321006
