model,year,mse,r2
LinearRegression,2022,1468.592223035146,0.07910116758046903
LinearRegression,2023,1075.9364621996872,0.03308187242864713
Lasso(alpha=0.209),2022,1483.9813902844312,0.06945120080992007
Lasso(alpha=0.183),2023,1078.0164861066726,0.0312126051511592
RandomForest,2022,1453.917700808896,0.0883030073917539
RandomForest,2023,1036.1736012293286,0.0688157957848049
